value,series
1017.1,D1
1019.3,D1
1017,D1
1019.2,D1
1018.7,D1
1015.6,D1
1018.5,D1
1018.3,D1
1018.4,D1
1021.5,D1
1023,D1
1023.3,D1
1020.5,D1
1021.4,D1
1018.1,D1
1022.6,D1
1022.6,D1
1021,D1
1020.1,D1
1017,D1
1019.3,D1
1017.3,D1
1016.1,D1
1017.8,D1
1019.3,D1
1025.1,D1
1024.8,D1
1025.1,D1
1025.1,D1
1022.6,D1
1021.2,D1
1017.2,D1
1041.5,D1
1041.7,D1
1038.9,D1
1041,D1
1042.9,D1
1042.1,D1
1043.9,D1
1039,D1
1037.3,D1
1033.7,D1
1032.5,D1
1036.3,D1
1037.5,D1
1040,D1
1038.4,D1
1035.3,D1
1032,D1
1028.1,D1
1032.2,D1
1030.2,D1
1031.2,D1
1032.8,D1
1030.3,D1
1030.2,D1
1028.1,D1
1022.1,D1
1024.4,D1
1023.4,D1
1026.3,D1
1024,D1
1026.1,D1
1031,D1
1037.6,D1
1036.6,D1
1037.4,D1
1035.4,D1
1038.9,D1
1038.7,D1
1036.5,D1
1036.4,D1
1036.8,D1
1035.3,D1
1032.6,D1
1029.3,D1
1031.3,D1
1027.4,D1
1028.6,D1
1025.8,D1
1026,D1
1022.3,D1
1020.1,D1
1017.7,D1
1018,D1
1023.2,D1
1024.2,D1
1020.5,D1
1022.2,D1
1025.3,D1
1023.3,D1
1035.3,D1
1036.7,D1
1035.1,D1
1032.5,D1
1028.7,D1
1028.1,D1
1025.6,D1
1027.9,D1
1025,D1
1025.7,D1
1025,D1
1023.7,D1
1025.5,D1
1025.8,D1
1030.5,D1
1035.1,D1
1034.2,D1
1032.2,D1
1033.6,D1
1045.6,D1
1040.3,D1
1035.9,D1
1035.4,D1
1031,D1
1035.1,D1
1022.1,D1
1020.4,D1
1019.6,D1
1023.2,D1
1016.5,D1
1011.6,D1
1013.9,D1
1011.3,D1
1020.9,D1
1023.4,D1
1019.6,D1
1016.7,D1
1012,D1
1012.7,D1
1010.7,D1
1002.5,D1
991.5,D1
992.9,D1
997.1,D1
1001.6,D1
997.2,D1
1001.9,D1
1011.7,D1
1005.7,D1
1018.7,D1
1016.5,D1
1018.3,D1
1014.8,D1
1011,D1
1018.7,D1
1009.9,D1
1012.7,D1
1015,D1
1010.4,D1
1099,D1
1095.2,D1
1098.1,D1
1094.8,D1
1097.9,D1
1085.2,D1
1086,D1
1088.2,D1
1088.6,D1
1085.8,D1
1080.4,D1
1077.2,D1
1075.7,D1
1080.3,D1
1081.6,D1
1080.3,D1
1094.8,D1
1097.2,D1
1096.2,D1
1095.4,D1
1093,D1
1084.3,D1
1079.6,D1
1080.8,D1
1083.2,D1
1086.6,D1
1078.6,D1
1078.3,D1
1077.1,D1
1080.3,D1
1082.6,D1
1079.7,D1
1083.5,D1
1080,D1
1079.4,D1
1079.4,D1
1082.1,D1
1080.8,D1
1077.5,D1
1079.7,D1
1078.8,D1
1083.1,D1
1079.7,D1
1078.1,D1
1077.3,D1
1075.5,D1
1080.2,D1
1090.3,D1
1089.6,D1
1087.8,D1
1081.1,D1
1071.7,D1
1071.4,D1
1069.8,D1
1070.5,D1
1066.4,D1
1070.9,D1
1065.5,D1
1068.6,D1
1067.1,D1
1068.3,D1
1074.9,D1
1069.2,D1
1068.6,D1
1076.2,D1
1080.7,D1
1077.7,D1
1077.6,D1
1083.7,D1
1084.4,D1
1084.4,D1
1091.4,D1
1090.4,D1
1096.5,D1
1095,D1
1096.9,D1
1099.8,D1
1096.1,D1
1094.3,D1
1098.9,D1
1099,D1
1101.5,D1
