table,_start,_stop,_time,_value,_field,_measurement,series
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-06T00:00:00Z,1017.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-07T00:00:00Z,1019.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-08T00:00:00Z,1017,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-09T00:00:00Z,1019.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-10T00:00:00Z,1018.7,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-11T00:00:00Z,1015.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-12T00:00:00Z,1018.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-13T00:00:00Z,1018.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-14T00:00:00Z,1018.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-15T00:00:00Z,1021.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-16T00:00:00Z,1023,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-17T00:00:00Z,1023.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-18T00:00:00Z,1020.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-19T00:00:00Z,1021.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-20T00:00:00Z,1018.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-21T00:00:00Z,1022.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-22T00:00:00Z,1022.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-23T00:00:00Z,1021,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-24T00:00:00Z,1020.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-25T00:00:00Z,1017,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-26T00:00:00Z,1019.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-27T00:00:00Z,1017.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-28T00:00:00Z,1016.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-29T00:00:00Z,1017.8,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-30T00:00:00Z,1019.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-01-31T00:00:00Z,1025.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-01T00:00:00Z,1024.8,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-02T00:00:00Z,1025.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-03T00:00:00Z,1025.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-04T00:00:00Z,1022.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-05T00:00:00Z,1021.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-06T00:00:00Z,1017.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-07T00:00:00Z,1041.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-08T00:00:00Z,1041.7,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-09T00:00:00Z,1038.9,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-10T00:00:00Z,1041,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-11T00:00:00Z,1042.9,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-12T00:00:00Z,1042.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-13T00:00:00Z,1043.9,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-14T00:00:00Z,1039,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-15T00:00:00Z,1037.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-16T00:00:00Z,1033.7,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-17T00:00:00Z,1032.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-18T00:00:00Z,1036.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-19T00:00:00Z,1037.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-20T00:00:00Z,1040,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-21T00:00:00Z,1038.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-22T00:00:00Z,1035.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-23T00:00:00Z,1032,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-24T00:00:00Z,1028.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-25T00:00:00Z,1032.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-26T00:00:00Z,1030.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-27T00:00:00Z,1031.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-02-28T00:00:00Z,1032.8,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-01T00:00:00Z,1030.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-02T00:00:00Z,1030.2,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-03T00:00:00Z,1028.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-04T00:00:00Z,1022.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-05T00:00:00Z,1024.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-06T00:00:00Z,1023.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-07T00:00:00Z,1026.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-08T00:00:00Z,1024,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-09T00:00:00Z,1026.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-10T00:00:00Z,1031,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-11T00:00:00Z,1037.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-12T00:00:00Z,1036.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-13T00:00:00Z,1037.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-14T00:00:00Z,1035.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-15T00:00:00Z,1038.9,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-16T00:00:00Z,1038.7,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-17T00:00:00Z,1036.5,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-18T00:00:00Z,1036.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-19T00:00:00Z,1036.8,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-20T00:00:00Z,1035.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-21T00:00:00Z,1032.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-22T00:00:00Z,1029.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-23T00:00:00Z,1031.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-24T00:00:00Z,1027.4,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-25T00:00:00Z,1028.6,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-26T00:00:00Z,1025.8,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-27T00:00:00Z,1026,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-28T00:00:00Z,1022.3,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-29T00:00:00Z,1020.1,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-30T00:00:00Z,1017.7,value,m4_part,D1
0,1970-01-02T01:00:00Z,2022-09-30T15:00:00Z,2018-03-31T00:00:00Z,1018,value,m4_part,D1
